Trace,Scenario,TraceNumber,Median,Max,Min,SD,IQR,MaxDroughtLength,Driest10yr,Wettest10yr,demand,mead,powell,InitCombinedStorage,Neuron,Cluster
173,npc_adjusted,76,13.50985075,17.71250043,4.88862655,3.355833493,5.275638213,6,10.09642735,14.73753864,4.278895878,1033.368024,3574.349765,15.37836323,18,3
175,npc_adjusted,78,9.65714125,20.64276518,5.175977774,4.036784485,3.098726542,10,8.923198359,12.31602676,4.240317425,1054.495938,3568.319249,16.40322653,36,5
179,npc_adjusted,82,9.871983673,15.73879979,5.014095,2.653143103,2.593452383,14,8.152923245,11.48444202,4.642445617,1116.188429,3700,36.5470453,8,6
182,npc_adjusted,85,9.967822933,24.62097252,4.996026506,4.976280323,4.941019719,11,9.310822261,13.31866398,5.925857494,1047.197466,3574.10302,16.31290999,26,10
189,npc_adjusted,92,13.35014952,24.41540759,6.47280661,4.570091693,5.980412305,6,9.452135333,15.2150153,5.075061275,1062.032908,3572.753687,17.30527216,35,5
191,npc_adjusted,94,9.689134217,18.22511782,5.20271265,3.283797821,3.039305013,15,8.964540263,11.35027737,4.316896924,1111.030633,3700,36.0575834,8,6
194,npc_adjusted,97,10.53628592,19.36568905,5.244243479,3.413119069,5.09508341,25,7.807450456,14.43989304,4.866998493,1090.124693,3640.111104,25.99073455,6,4
195,npc_adjusted,98,14.70623022,23.68432519,6.252380017,3.770371472,5.630225625,5,11.58523057,16.24721566,5.888038813,1001.803906,3523.771277,10.0519821,34,3
217,paleo_drought,20,10.79965192,19.20315312,5.75544733,3.963016141,5.536312269,8,9.908530306,13.96578301,4.664414377,1043.221446,3600.436473,18.23169427,38,8
233,paleo_drought,36,10.91191973,18.82092354,5.401405329,3.75112417,6.477481521,7,10.64786863,13.33136683,4.445702365,1091.882601,3636.273662,25.6994511,21,3
239,paleo_drought,42,13.05173191,18.6577617,5.602290251,4.310672966,8.290849828,5,11.44835288,14.16382509,5.432872455,1063.382095,3584.361767,18.32874259,21,3
247,paleo_drought,50,9.026282654,18.82119954,5.180891425,3.770212113,4.42995365,9,9.529682483,12.02818903,4.259639539,1074.466289,3617.394286,22.20229363,38,8
258,paleo_drought,61,10.23636627,18.59720392,5.623906277,3.979267188,6.655075503,10,8.566058244,14.10210774,4.667330961,1083.30104,3635.424161,24.86869205,26,10
270,paleo_drought,73,12.07574617,18.75206261,5.71642065,3.771200428,5.291474958,8,10.76697679,14.34180427,5.559865015,1030.763816,3544.209783,13.07321574,52,7
287,paleo_drought,90,13.3632325,18.448825,8.059473216,3.159301597,5.174564165,5,12.59066952,14.57077226,5.90015616,1073.267793,3583.420232,19.03114498,22,5
292,paleo_drought,95,10.68873819,17.13891134,5.6122023,3.118639133,3.540747312,7,10.46728406,12.45672471,4.687377043,1053.230178,3543.040803,14.56035695,38,8
295,paleo_drought,98,12.63612246,18.39976798,6.714819723,3.485219213,4.246416182,8,10.95045764,13.48674491,4.216489324,1078.159243,3607.988013,21.58680729,19,3
297,paleo_drought,100,10.78977469,18.30118458,5.624698277,3.844858329,6.554154413,7,10.19972206,13.37733268,5.336836189,1096.537708,3678.421722,31.49834896,7,4
308,npc_cmip3,11,11.73750817,18.25528791,8.793141384,2.791567787,1.778501532,8,11.11446518,13.47729367,4.628738466,1096.055148,3657.656292,28.65625673,7,4
314,npc_cmip3,17,11.71650421,18.25513191,6.055067561,3.040680792,2.209850229,11,10.45137207,12.17325213,4.944674603,1095.150237,3649.148495,27.51107636,24,8
326,npc_cmip3,29,12.0169312,18.25503591,7.743108051,2.91125941,4.585270523,7,11.0298844,13.24063797,4.531940228,1081.071936,3605.902602,21.63207855,20,3
331,npc_cmip3,34,11.57006281,18.25501191,6.055307561,2.873178513,2.041631682,10,10.60151748,12.21426666,5.748401818,1093.882203,3642.926313,26.64928383,10,9
333,npc_cmip3,36,12.56178586,18.25520391,9.502430198,2.911832596,4.865244135,5,11.30233143,14.37241237,5.005367948,1010.866438,3547.013341,12.00647266,35,5
335,npc_cmip3,38,11.59960663,18.25531191,8.363761688,2.931409562,3.77008941,17,10.56873076,14.73681664,5.371242115,1080.062105,3603.044682,21.28408315,37,8
380,npc_cmip3,83,11.77113135,17.78817861,8.42870909,2.205735961,2.723707442,8,11.52004505,13.3284415,4.273818899,1067.132439,3601.042046,20.0585047,21,3
